reconstruction_id,test_id,distance_A_vs_B
R1,T1,3
R1,T2,0
R1,T3,1
R1,T4,0
R1,T5,0
R2,T1,1
R2,T2,1
R2,T3,0
R2,T4,0
R2,T5,1
R3,T1,1
R3,T2,1
R3,T3,1
R3,T4,1
R3,T5,3
R4,T1,3
R4,T2,0
R4,T3,4
R4,T4,1
R4,T5,1
R5,T1,5
R5,T2,0
R5,T3,0
R5,T4,0
R5,T5,1
