reconstruction_i,reconstruction_j,block,test,blind_i,blind_j,manhattan
R4,R6,B,T3,ab988151-82dd-4e15-8b24-be75ba0d690c,c9b91a2c-6d1c-467e-bd4c-6429357be075,16
R5,R6,B,T3,06189267-222e-4f5f-ae21-5e3d1c7b44ec,c9b91a2c-6d1c-467e-bd4c-6429357be075,0
R1,R2,B,T4,01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,5d4e3f54-fdea-4c6c-84b9-828f76358097,0
R1,R3,B,T4,01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,86432599-1db7-4686-a41c-9ec38bb40b2d,0
R1,R4,B,T4,01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,291b92c2-a647-4d78-a4ad-835ad1310119,16
R1,R5,B,T4,01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,32baa778-970a-4520-b122-a314eb32d60a,0
R1,R6,B,T4,01e706c3-f1eb-4437-b6d1-30a1a4aca3e3,0eb50383-4c92-468e-98f6-401d0ba18d35,0
R2,R3,B,T4,5d4e3f54-fdea-4c6c-84b9-828f76358097,86432599-1db7-4686-a41c-9ec38bb40b2d,0
R2,R4,B,T4,5d4e3f54-fdea-4c6c-84b9-828f76358097,291b92c2-a647-4d78-a4ad-835ad1310119,16
R2,R5,B,T4,5d4e3f54-fdea-4c6c-84b9-828f76358097,32baa778-970a-4520-b122-a314eb32d60a,0
R2,R6,B,T4,5d4e3f54-fdea-4c6c-84b9-828f76358097,0eb50383-4c92-468e-98f6-401d0ba18d35,0
R3,R4,B,T4,86432599-1db7-4686-a41c-9ec38bb40b2d,291b92c2-a647-4d78-a4ad-835ad1310119,16
R3,R5,B,T4,86432599-1db7-4686-a41c-9ec38bb40b2d,32baa778-970a-4520-b122-a314eb32d60a,0
R3,R6,B,T4,86432599-1db7-4686-a41c-9ec38bb40b2d,0eb50383-4c92-468e-98f6-401d0ba18d35,0
R4,R5,B,T4,291b92c2-a647-4d78-a4ad-835ad1310119,32baa778-970a-4520-b122-a314eb32d60a,16
R4,R6,B,T4,291b92c2-a647-4d78-a4ad-835ad1310119,0eb50383-4c92-468e-98f6-401d0ba18d35,16
R5,R6,B,T4,32baa778-970a-4520-b122-a314eb32d60a,0eb50383-4c92-468e-98f6-401d0ba18d35,0
R1,R2,B,T5,3becc749-94f6-4674-9586-54e257ac3bb9,78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,0
